code,name,category
I-1,"Bend to the left.","warning"
I-1.1,"Bend to the right.","warning"
I-10,"Uneven roadway.","warning"
I-11,"Slippery roadway.","warning"
I-13,"Falling rocks on right side of the road.","warning"
I-13.1,"Falling rocks on left side of the road.","warning"
I-14,"Pedestrian crossing ahead.","warning"
I-15,"Children near or in the road.","warning"
I-16,"Cyclists on the road.","warning"
I-17,"Domestic animals on the road.","warning"
I-18,"Wild animals on the road.","warning"
I-19,"Roadworks.","warning"
I-2,"Double bend or more consecutive turns, first to the left.","warning"
I-2.1,"Double bend or more consecutive turns, first to the right.","warning"
I-20,"Traffic signals ahead.","warning"
I-25,"Other danger.","warning"
I-27,"Crossing with minor road.","warning"
I-28,"Crossing with minor road on left.","warning"
I-28.1,"Crossing with minor road on right.","warning"
I-29,"Crossing with minor road on left, at an angle.","warning"
I-29.1,"Crossing with minor road on right, at an angle.","warning"
I-3,"Dangerous descent.","warning"
I-30,"Roundabout ahead.","warning"
I-32,"Ice.","warning"
I-34,"Soft road shoulder.","warning"
I-36,"Railway crossing ahead with gates or barriers.","warning"
I-37,"Railway crossing ahead without gates or barriers.","warning"
I-38,"St. Andrew's Cross.","warning"
I-39-1,,
I-39-2,,
I-39-3,,
I-4,"Dangerous ascent.","warning"
I-5,"Road narrows.","warning"
I-5.1,"Road narrows on the right side.","warning"
I-5.2,"Road narrows on the left side.","warning"
I-8,"Uneven roadway.","warning"
I-9,"Uneven roadway.","warning"
II-1,"Give way to major road.","regulatory"
II-10.1,"Road closed to motor vehicles towing a trailer, except for a semi-trailer.","regulatory"
II-14,"Road closed to bicycles.","regulatory"
II-17,"Road closed to pedestrians.","regulatory"
II-18,"Road closed for all motor vehicles.","regulatory"
II-19-4,"Roadworks.","regulatory"
II-2,"Stop.","regulatory"
II-21,"Road closed to motor vehicles exceeding the maximum height in metres.","regulatory"
II-22,"Road closed to motor vehicles exceeding the maximum weight in metric tonnes.","regulatory"
II-23,"Road closed to motor vehicles exceeding the maximum permissible weight per axle.","regulatory"
II-26,"Left turn prohibited.","regulatory"
II-26.1,"Right turn prohibited.","regulatory"
II-28,"No overtaking.","regulatory"
II-3,"Road closed to all traffic in both directions.","regulatory"
II-30-10,"Maximum speed limit 10.","regulatory"
II-30-30,"Maximum speed limit 30.","regulatory"
II-30-40,"Maximum speed limit 40.","regulatory"
II-30-50,"Maximum speed limit 50.","regulatory"
II-30-60,"Maximum speed limit 60.","regulatory"
II-30-70,"Maximum speed limit 70.","regulatory"
II-32,"Customs (passing without stopping first prohibited).","regulatory"
II-33,"Give way to oncoming traffic.","regulatory"
II-34,"No stopping or parking.","regulatory"
II-35,"No parking.","regulatory"
II-39,"Snow chains mandatory.","regulatory"
II-4,"Road closed in this direction.","regulatory"
II-40,"Bike path.","regulatory"
II-41,"Pedestrian path.","regulatory"
II-42,"Segregated path for pedestrians and bicycles.","regulatory"
II-42.1,"Segregated path for pedestrians and bicycles.","regulatory"
II-43,"Shared path for pedestrians and bicycles.","regulatory"
II-45,"Proceed straight.","regulatory"
